,rf_ann,shrinkage,delta,n_views,view
2025-11-28,0.046615821732850615,0.0688192123780668,5.0,1,JPM+NVDA+CAT+GS beats UNH+PG+LIN+HD by 5.0%
2025-12-31,0.04587752973687498,0.06881835042761675,5.0,1,NVDA+GS+JNJ+CAT beats UNH+PG+HD+LIN by 5.0%
2026-01-30,0.04519786779169599,0.07055378542525678,5.0,1,JPM+JNJ+GS+CAT beats UNH+PG+HD+LIN by 5.0%
2026-02-27,0.04456812568721358,0.07219645417764432,4.489812909825826,1,GS+JNJ+NVDA+CAT beats UNH+PG+HD+AMZN by 5.0%
2026-03-31,0.04383839472175233,0.06972844037133907,3.7713381572619618,1,GS+NVDA+JNJ+CAT beats UNH+HD+PG+AMZN by 5.0%
2026-04-30,0.04314208899620364,0.07208982066849362,5.0,1,JNJ+GS+NVDA+CAT beats UNH+PG+HD+MSFT by 5.0%
2026-05-29,0.042470836598678674,0.07360639975770077,4.7395516324784115,1,JNJ+GS+NVDA+CAT beats UNH+HD+PG+MSFT by 5.0%
2026-06-30,0.04179917662471622,0.0720921380497158,3.4231545307185525,1,AAPL+NVDA+GS+CAT beats PG+HD+MSFT+LIN by 5.0%
2026-07-31,0.041141554755692145,0.07484561000956678,4.270676925347618,1,AAPL+GS+JNJ+CAT beats MSFT+PG+HD+AMZN by 5.0%
2026-08-31,0.04056404622870191,0.0817311891328424,4.53608730857445,1,AAPL+JNJ+UNH+CAT beats MSFT+HD+PG+LIN by 5.0%
2026-09-11,0.04037445042005949,0.08424057374612032,5.0,1,JNJ+XOM+UNH+CAT beats HD+MSFT+PG+LIN by 5.0%
